"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1660801,16608,"YMU","Mansons Landing Water Aerodrome",90601,906,"CA",50,50.06944444,124,-124.98333333,
1660901,16609,"BC9","Mink Island Water Aerodrome",90601,906,"CA",50,50.11666667,124,-124.75000000,
1661001,16610,"CN2","Mimmo Bay Water Aerodrome",90601,906,"CA",50,50.93888889,126,-126.68333333,
1661101,16611,"YPT","Pender Harbour Water Aerodrome",90601,906,"CA",49,49.62277778,124,-124.02527778,
1661201,16612,"CN4","Princess Louisa Marina Provincial Park",90601,906,"CA",50,50.20333333,123,-123.77111111,
1661301,16613,"YQJ","April Point Resort",90601,906,"CA",50,50.06527778,125,-125.22750000,
1661401,16614,"YR1","Refuge Cove Water Aerodrome",90601,906,"CA",50,50.12416667,124,-124.83972222,
1661501,16615,"CN5","Rendezvous Islands Water Aerodrome",90601,906,"CA",50,50.28611111,125,-125.05833333,
1661601,16616,"CN6","Shawl Bay Water Aerodrome",90601,906,"CA",50,50.84833333,126,-126.56583333,
1661701,16617,"CN7","Shoal Bay Water Aerodrome",90601,906,"CA",50,50.45861111,127,-127.85611111,
1661801,16618,"CN9","Sointula Water Aerodrome",90601,906,"CA",50,50.64083333,127,-127.03138889,
1661901,16619,"BC7","Sonora Resort",90601,906,"CA",50,50.38305556,125,-125.15527778,
1662001,16620,"CA9","Steep Island Lodge",90601,906,"CA",50,50.08138889,125,-125.25333333,
1662101,16621,"AK8","Zips Airport",101,1,"US",60,60.43333333,151,-151.48333333,
1662201,16622,"XMJ","Mont de Marsan Airport",42701,427,"FR",43,43.91138889,0,-0.50944444,
1662301,16623,"PT1","Cascais Airport",46901,469,"PT",38,38.72444444,9,-9.35500000,
1662302,16623,"PT1","Cascais Airport",46901,469,"PT",38,38.72500000,9,-9.35500000,
1662303,16623,"PT1","Cascais Airport",46901,469,"PT",38,38.72444444,9,-9.35500000,
1662401,16624,"VT2","Warren Sugarbush",1601,16,"US",44,44.11750000,72,-72.82694444,
1662501,16625,"NJ6","Flying W",2101,21,"US",39,39.93416667,74,-74.80722222,
1662601,16626,"OD1","Doro Airport",50101,501,"SS",9,9.58888889,33,33.44805556,
1662701,16627,"ME5","Bethel Regional",1201,12,"US",44,44.42527778,70,-70.81000000,
1662801,16628,"WI3","Ephraim Gibralter Creek",4501,45,"US",45,45.13555556,87,-87.18805556,
1662802,16628,"WI3","Ephraim Gibralter",4501,45,"US",45,45.13583333,87,-87.18805556,
1662803,16628,"WI3","Ephraim Gibralter Creek",4501,45,"US",45,45.13527778,87,-87.18583333,
